report_date,week_end_date,geography_type,geography_name,vdh_health_region,facility_type,count_of_cli_visits,percent_of_cli_visits,st_date
2023-04-18,2022-09-03,Health District,Arlington,Northern Region,Urgent Care,51,13,2022-08-28
2023-04-18,2022-09-10,Health District,Arlington,Northern Region,Urgent Care,49,12,2022-09-04
2023-04-18,2022-09-17,Health District,Arlington,Northern Region,Urgent Care,65,14,2022-09-11
2023-04-18,2022-09-24,Health District,Arlington,Northern Region,Urgent Care,50,11,2022-09-18
2023-04-18,2022-10-01,Health District,Arlington,Northern Region,Urgent Care,58,14,2022-09-25
2023-04-18,2022-10-08,Health District,Arlington,Northern Region,Urgent Care,37,9,2022-10-02
2023-04-18,2022-10-15,Health District,Arlington,Northern Region,Urgent Care,60,14,2022-10-09
2023-04-18,2022-10-22,Health District,Arlington,Northern Region,Urgent Care,58,13,2022-10-16
2023-04-18,2022-10-29,Health District,Arlington,Northern Region,Urgent Care,67,15,2022-10-23
2023-04-18,2022-11-05,Health District,Arlington,Northern Region,Urgent Care,64,15,2022-10-30
2023-04-18,2022-11-12,Health District,Arlington,Northern Region,Urgent Care,52,14,2022-11-06
2023-04-18,2022-11-19,Health District,Arlington,Northern Region,Urgent Care,67,16,2022-11-13
2023-04-18,2022-11-26,Health District,Arlington,Northern Region,Urgent Care,66,15,2022-11-20
2023-04-18,2022-12-03,Health District,Arlington,Northern Region,Urgent Care,83,18,2022-11-27
2023-04-18,2022-12-10,Health District,Arlington,Northern Region,Urgent Care,78,19,2022-12-04
2023-04-18,2022-12-17,Health District,Arlington,Northern Region,Urgent Care,91,20,2022-12-11
2023-04-18,2022-12-24,Health District,Arlington,Northern Region,Urgent Care,83,19,2022-12-18
2023-04-18,2022-12-31,Health District,Arlington,Northern Region,Urgent Care,75,19,2022-12-25
2023-04-18,2023-01-07,Health District,Arlington,Northern Region,Urgent Care,91,17,2023-01-01
2023-04-18,2023-01-14,Health District,Arlington,Northern Region,Urgent Care,82,19,2023-01-08
2023-04-18,2023-01-21,Health District,Arlington,Northern Region,Urgent Care,47,12,2023-01-15
2023-04-18,2023-01-28,Health District,Arlington,Northern Region,Urgent Care,61,14,2023-01-22
2023-04-18,2023-02-04,Health District,Arlington,Northern Region,Urgent Care,49,11,2023-01-29
2023-04-18,2023-02-11,Health District,Arlington,Northern Region,Urgent Care,52,11,2023-02-05
2023-04-18,2023-02-18,Health District,Arlington,Northern Region,Urgent Care,59,13,2023-02-12
2023-04-18,2023-02-25,Health District,Arlington,Northern Region,Urgent Care,56,12,2023-02-19
2023-04-18,2023-03-04,Health District,Arlington,Northern Region,Urgent Care,55,12,2023-02-26
2023-04-18,2023-03-11,Health District,Arlington,Northern Region,Urgent Care,41,9,2023-03-05
2023-04-18,2023-03-18,Health District,Arlington,Northern Region,Urgent Care,35,8,2023-03-12
2023-04-18,2023-03-25,Health District,Arlington,Northern Region,Urgent Care,37,8,2023-03-19
2023-04-18,2023-04-01,Health District,Arlington,Northern Region,Urgent Care,40,9,2023-03-26
2023-04-18,2023-04-08,Health District,Arlington,Northern Region,Urgent Care,38,9,2023-04-02
2023-04-18,2023-04-15,Health District,Arlington,Northern Region,Urgent Care,31,7,2023-04-09
2023-04-18,2020-03-07,Health District,Blue Ridge,Northwest Region,Emergency Department,92,5,2020-03-01
2023-04-18,2020-03-14,Health District,Blue Ridge,Northwest Region,Emergency Department,115,6,2020-03-08
2023-04-18,2020-03-21,Health District,Blue Ridge,Northwest Region,Emergency Department,152,11,2020-03-15
2023-04-18,2020-03-28,Health District,Blue Ridge,Northwest Region,Emergency Department,101,9,2020-03-22
2023-04-18,2020-04-04,Health District,Blue Ridge,Northwest Region,Emergency Department,65,7,2020-03-29
2023-04-18,2020-04-11,Health District,Blue Ridge,Northwest Region,Emergency Department,81,9,2020-04-05
2023-04-18,2020-04-18,Health District,Blue Ridge,Northwest Region,Emergency Department,80,9,2020-04-12
2023-04-18,2020-04-25,Health District,Blue Ridge,Northwest Region,Emergency Department,52,5,2020-04-19
2023-04-18,2020-05-02,Health District,Blue Ridge,Northwest Region,Emergency Department,48,5,2020-04-26
2023-04-18,2020-05-09,Health District,Blue Ridge,Northwest Region,Emergency Department,42,5,2020-05-03
2023-04-18,2020-05-16,Health District,Blue Ridge,Northwest Region,Emergency Department,36,4,2020-05-10
2023-04-18,2020-05-23,Health District,Blue Ridge,Northwest Region,Emergency Department,33,4,2020-05-17
2023-04-18,2020-05-30,Health District,Blue Ridge,Northwest Region,Emergency Department,44,5,2020-05-24
2023-04-18,2020-06-06,Health District,Blue Ridge,Northwest Region,Emergency Department,35,4,2020-05-31
2023-04-18,2020-06-13,Health District,Blue Ridge,Northwest Region,Emergency Department,33,3,2020-06-07
2023-04-18,2020-06-20,Health District,Blue Ridge,Northwest Region,Emergency Department,39,4,2020-06-14
2023-04-18,2020-06-27,Health District,Blue Ridge,Northwest Region,Emergency Department,33,3,2020-06-21
2023-04-18,2020-07-04,Health District,Blue Ridge,Northwest Region,Emergency Department,45,4,2020-06-28
2023-04-18,2020-07-11,Health District,Blue Ridge,Northwest Region,Emergency Department,43,4,2020-07-05
2023-04-18,2020-07-18,Health District,Blue Ridge,Northwest Region,Emergency Department,48,4,2020-07-12
2023-04-18,2020-07-25,Health District,Blue Ridge,Northwest Region,Emergency Department,63,6,2020-07-19
2023-04-18,2020-08-01,Health District,Blue Ridge,Northwest Region,Emergency Department,77,6,2020-07-26
2023-04-18,2020-08-08,Health District,Blue Ridge,Northwest Region,Emergency Department,63,5,2020-08-02
2023-04-18,2020-08-15,Health District,Blue Ridge,Northwest Region,Emergency Department,63,5,2020-08-09
2023-04-18,2020-08-22,Health District,Blue Ridge,Northwest Region,Emergency Department,62,5,2020-08-16
2023-04-18,2020-08-29,Health District,Blue Ridge,Northwest Region,Emergency Department,41,4,2020-08-23
2023-04-18,2020-09-05,Health District,Blue Ridge,Northwest Region,Emergency Department,48,4,2020-08-30
2023-04-18,2020-09-12,Health District,Blue Ridge,Northwest Region,Emergency Department,44,4,2020-09-06
2023-04-18,2020-09-19,Health District,Blue Ridge,Northwest Region,Emergency Department,46,4,2020-09-13
2023-04-18,2020-09-26,Health District,Blue Ridge,Northwest Region,Emergency Department,34,3,2020-09-20
2023-04-18,2020-10-03,Health District,Blue Ridge,Northwest Region,Emergency Department,54,4,2020-09-27
2023-04-18,2020-10-10,Health District,Blue Ridge,Northwest Region,Emergency Department,55,5,2020-10-04
2023-04-18,2020-10-17,Health District,Blue Ridge,Northwest Region,Emergency Department,54,4,2020-10-11
2023-04-18,2020-10-24,Health District,Blue Ridge,Northwest Region,Emergency Department,44,4,2020-10-18
2023-04-18,2020-10-31,Health District,Blue Ridge,Northwest Region,Emergency Department,57,5,2020-10-25
2023-04-18,2020-11-07,Health District,Blue Ridge,Northwest Region,Emergency Department,63,5,2020-11-01
2023-04-18,2020-11-14,Health District,Blue Ridge,Northwest Region,Emergency Department,58,4,2020-11-08
2023-04-18,2020-11-21,Health District,Blue Ridge,Northwest Region,Emergency Department,70,5,2020-11-15
2023-04-18,2020-11-28,Health District,Blue Ridge,Northwest Region,Emergency Department,102,7,2020-11-22
2023-04-18,2020-12-05,Health District,Blue Ridge,Northwest Region,Emergency Department,116,8,2020-11-29
2023-04-18,2020-12-12,Health District,Blue Ridge,Northwest Region,Emergency Department,113,8,2020-12-06
2023-04-18,2020-12-19,Health District,Blue Ridge,Northwest Region,Emergency Department,101,8,2020-12-13
2023-04-18,2020-12-26,Health District,Blue Ridge,Northwest Region,Emergency Department,140,10,2020-12-20
2023-04-18,2021-01-02,Health District,Blue Ridge,Northwest Region,Emergency Department,153,10,2020-12-27
2023-04-18,2021-01-09,Health District,Blue Ridge,Northwest Region,Emergency Department,192,12,2021-01-03
2023-04-18,2021-01-16,Health District,Blue Ridge,Northwest Region,Emergency Department,167,11,2021-01-10
2023-04-18,2021-01-23,Health District,Blue Ridge,Northwest Region,Emergency Department,161,11,2021-01-17
2023-04-18,2021-01-30,Health District,Blue Ridge,Northwest Region,Emergency Department,142,10,2021-01-24
2023-04-18,2021-02-06,Health District,Blue Ridge,Northwest Region,Emergency Department,95,7,2021-01-31
2023-04-18,2021-02-13,Health District,Blue Ridge,Northwest Region,Emergency Department,80,6,2021-02-07
2023-04-18,2021-02-20,Health District,Blue Ridge,Northwest Region,Emergency Department,108,8,2021-02-14
2023-04-18,2021-02-27,Health District,Blue Ridge,Northwest Region,Emergency Department,57,4,2021-02-21
2023-04-18,2021-03-06,Health District,Blue Ridge,Northwest Region,Emergency Department,61,4,2021-02-28
2023-04-18,2021-03-13,Health District,Blue Ridge,Northwest Region,Emergency Department,77,5,2021-03-07
2023-04-18,2021-03-20,Health District,Blue Ridge,Northwest Region,Emergency Department,75,5,2021-03-14
2023-04-18,2021-03-27,Health District,Blue Ridge,Northwest Region,Emergency Department,84,5,2021-03-21
2023-04-18,2021-04-03,Health District,Blue Ridge,Northwest Region,Emergency Department,70,5,2021-03-28
2023-04-18,2021-04-10,Health District,Blue Ridge,Northwest Region,Emergency Department,83,5,2021-04-04
2023-04-18,2021-04-17,Health District,Blue Ridge,Northwest Region,Emergency Department,103,6,2021-04-11
2023-04-18,2021-04-24,Health District,Blue Ridge,Northwest Region,Emergency Department,72,5,2021-04-18
2023-04-18,2021-05-01,Health District,Blue Ridge,Northwest Region,Emergency Department,81,5,2021-04-25
2023-04-18,2021-05-08,Health District,Blue Ridge,Northwest Region,Emergency Department,62,4,2021-05-02
2023-04-18,2021-05-15,Health District,Blue Ridge,Northwest Region,Emergency Department,66,4,2021-05-09
2023-04-18,2021-05-22,Health District,Blue Ridge,Northwest Region,Emergency Department,73,4,2021-05-16
2023-04-18,2021-05-29,Health District,Blue Ridge,Northwest Region,Emergency Department,66,4,2021-05-23
2023-04-18,2021-06-05,Health District,Blue Ridge,Northwest Region,Emergency Department,73,4,2021-05-30
2023-04-18,2021-06-12,Health District,Blue Ridge,Northwest Region,Emergency Department,74,4,2021-06-06
2023-04-18,2021-06-19,Health District,Blue Ridge,Northwest Region,Emergency Department,72,4,2021-06-13
2023-04-18,2021-06-26,Health District,Blue Ridge,Northwest Region,Emergency Department,46,3,2021-06-20
2023-04-18,2021-07-03,Health District,Blue Ridge,Northwest Region,Emergency Department,44,3,2021-06-27
2023-04-18,2021-07-10,Health District,Blue Ridge,Northwest Region,Emergency Department,59,3,2021-07-04
2023-04-18,2021-07-17,Health District,Blue Ridge,Northwest Region,Emergency Department,63,3,2021-07-11
2023-04-18,2021-07-24,Health District,Blue Ridge,Northwest Region,Emergency Department,80,4,2021-07-18
2023-04-18,2021-07-31,Health District,Blue Ridge,Northwest Region,Emergency Department,89,5,2021-07-25
2023-04-18,2021-08-07,Health District,Blue Ridge,Northwest Region,Emergency Department,119,6,2021-08-01
2023-04-18,2021-08-14,Health District,Blue Ridge,Northwest Region,Emergency Department,131,7,2021-08-08
2023-04-18,2021-08-21,Health District,Blue Ridge,Northwest Region,Emergency Department,133,7,2021-08-15
2023-04-18,2021-08-28,Health District,Blue Ridge,Northwest Region,Emergency Department,203,10,2021-08-22
2023-04-18,2021-09-04,Health District,Blue Ridge,Northwest Region,Emergency Department,232,12,2021-08-29
2023-04-18,2021-09-11,Health District,Blue Ridge,Northwest Region,Emergency Department,263,13,2021-09-05
2023-04-18,2021-09-18,Health District,Blue Ridge,Northwest Region,Emergency Department,270,14,2021-09-12
2023-04-18,2021-09-25,Health District,Blue Ridge,Northwest Region,Emergency Department,204,11,2021-09-19
2023-04-18,2021-10-02,Health District,Blue Ridge,Northwest Region,Emergency Department,183,10,2021-09-26
2023-04-18,2021-10-09,Health District,Blue Ridge,Northwest Region,Emergency Department,191,10,2021-10-03
2023-04-18,2021-10-16,Health District,Blue Ridge,Northwest Region,Emergency Department,158,8,2021-10-10
2023-04-18,2021-10-23,Health District,Blue Ridge,Northwest Region,Emergency Department,114,6,2021-10-17
2023-04-18,2021-10-30,Health District,Blue Ridge,Northwest Region,Emergency Department,123,7,2021-10-24
2023-04-18,2021-11-06,Health District,Blue Ridge,Northwest Region,Emergency Department,124,7,2021-10-31
2023-04-18,2021-11-13,Health District,Blue Ridge,Northwest Region,Emergency Department,127,7,2021-11-07
2023-04-18,2021-11-20,Health District,Blue Ridge,Northwest Region,Emergency Department,113,6,2021-11-14
2023-04-18,2021-11-27,Health District,Blue Ridge,Northwest Region,Emergency Department,127,8,2021-11-21
2023-04-18,2021-12-04,Health District,Blue Ridge,Northwest Region,Emergency Department,157,9,2021-11-28
2023-04-18,2021-12-11,Health District,Blue Ridge,Northwest Region,Emergency Department,141,8,2021-12-05
2023-04-18,2021-12-18,Health District,Blue Ridge,Northwest Region,Emergency Department,177,10,2021-12-12
2023-04-18,2021-12-25,Health District,Blue Ridge,Northwest Region,Emergency Department,241,14,2021-12-19
2023-04-18,2022-01-01,Health District,Blue Ridge,Northwest Region,Emergency Department,430,20,2021-12-26
2023-04-18,2022-01-08,Health District,Blue Ridge,Northwest Region,Emergency Department,365,20,2022-01-02
2023-04-18,2022-01-15,Health District,Blue Ridge,Northwest Region,Emergency Department,328,19,2022-01-09
2023-04-18,2022-01-22,Health District,Blue Ridge,Northwest Region,Emergency Department,299,19,2022-01-16
2023-04-18,2022-01-29,Health District,Blue Ridge,Northwest Region,Emergency Department,244,16,2022-01-23
2023-04-18,2022-02-05,Health District,Blue Ridge,Northwest Region,Emergency Department,157,11,2022-01-30
2023-04-18,2022-02-12,Health District,Blue Ridge,Northwest Region,Emergency Department,130,8,2022-02-06
2023-04-18,2022-02-19,Health District,Blue Ridge,Northwest Region,Emergency Department,97,6,2022-02-13
2023-04-18,2022-02-26,Health District,Blue Ridge,Northwest Region,Emergency Department,98,6,2022-02-20
2023-04-18,2022-03-05,Health District,Blue Ridge,Northwest Region,Emergency Department,75,5,2022-02-27
2023-04-18,2022-03-12,Health District,Blue Ridge,Northwest Region,Emergency Department,86,5,2022-03-06
2023-04-18,2022-03-19,Health District,Blue Ridge,Northwest Region,Emergency Department,82,5,2022-03-13
2023-04-18,2022-03-26,Health District,Blue Ridge,Northwest Region,Emergency Department,68,4,2022-03-20
2023-04-18,2022-04-02,Health District,Blue Ridge,Northwest Region,Emergency Department,77,4,2022-03-27
2023-04-18,2022-04-09,Health District,Blue Ridge,Northwest Region,Emergency Department,85,5,2022-04-03
2023-04-18,2022-04-16,Health District,Blue Ridge,Northwest Region,Emergency Department,86,5,2022-04-10
2023-04-18,2022-04-23,Health District,Blue Ridge,Northwest Region,Emergency Department,93,5,2022-04-17
2023-04-18,2022-04-30,Health District,Blue Ridge,Northwest Region,Emergency Department,75,4,2022-04-24
2023-04-18,2022-05-07,Health District,Blue Ridge,Northwest Region,Emergency Department,120,7,2022-05-01
2023-04-18,2022-05-14,Health District,Blue Ridge,Northwest Region,Emergency Department,147,8,2022-05-08
2023-04-18,2022-05-21,Health District,Blue Ridge,Northwest Region,Emergency Department,154,8,2022-05-15
2023-04-18,2022-05-28,Health District,Blue Ridge,Northwest Region,Emergency Department,151,8,2022-05-22
2023-04-18,2022-06-04,Health District,Blue Ridge,Northwest Region,Emergency Department,145,7,2022-05-29
2023-04-18,2022-06-11,Health District,Blue Ridge,Northwest Region,Emergency Department,132,7,2022-06-05
2023-04-18,2022-06-18,Health District,Blue Ridge,Northwest Region,Emergency Department,152,8,2022-06-12
2023-04-18,2022-06-25,Health District,Blue Ridge,Northwest Region,Emergency Department,130,7,2022-06-19
2023-04-18,2022-07-02,Health District,Blue Ridge,Northwest Region,Emergency Department,130,6,2022-06-26
2023-04-18,2022-07-09,Health District,Blue Ridge,Northwest Region,Emergency Department,143,7,2022-07-03
2023-04-18,2022-07-16,Health District,Blue Ridge,Northwest Region,Emergency Department,170,8,2022-07-10
2023-04-18,2022-07-23,Health District,Blue Ridge,Northwest Region,Emergency Department,169,9,2022-07-17
2023-04-18,2022-07-30,Health District,Blue Ridge,Northwest Region,Emergency Department,171,9,2022-07-24
2023-04-18,2022-08-06,Health District,Blue Ridge,Northwest Region,Emergency Department,164,8,2022-07-31
2023-04-18,2022-08-13,Health District,Blue Ridge,Northwest Region,Emergency Department,188,10,2022-08-07
2023-04-18,2022-08-20,Health District,Blue Ridge,Northwest Region,Emergency Department,174,9,2022-08-14
2023-04-18,2022-08-27,Health District,Blue Ridge,Northwest Region,Emergency Department,185,9,2022-08-21
2023-04-18,2022-09-03,Health District,Blue Ridge,Northwest Region,Emergency Department,169,8,2022-08-28
2023-04-18,2022-09-10,Health District,Blue Ridge,Northwest Region,Emergency Department,162,8,2022-09-04
2023-04-18,2022-09-17,Health District,Blue Ridge,Northwest Region,Emergency Department,134,7,2022-09-11
2023-04-18,2022-09-24,Health District,Blue Ridge,Northwest Region,Emergency Department,131,7,2022-09-18
2023-04-18,2022-10-01,Health District,Blue Ridge,Northwest Region,Emergency Department,128,7,2022-09-25
2023-04-18,2022-10-08,Health District,Blue Ridge,Northwest Region,Emergency Department,128,7,2022-10-02
2023-04-18,2022-10-15,Health District,Blue Ridge,Northwest Region,Emergency Department,148,7,2022-10-09
2023-04-18,2022-10-22,Health District,Blue Ridge,Northwest Region,Emergency Department,143,7,2022-10-16
2023-04-18,2022-10-29,Health District,Blue Ridge,Northwest Region,Emergency Department,158,8,2022-10-23
2023-04-18,2022-11-05,Health District,Blue Ridge,Northwest Region,Emergency Department,176,8,2022-10-30
2023-04-18,2022-11-12,Health District,Blue Ridge,Northwest Region,Emergency Department,152,7,2022-11-06
2023-04-18,2022-11-19,Health District,Blue Ridge,Northwest Region,Emergency Department,131,7,2022-11-13
2023-04-18,2022-11-26,Health District,Blue Ridge,Northwest Region,Emergency Department,189,9,2022-11-20
2023-04-18,2022-12-03,Health District,Blue Ridge,Northwest Region,Emergency Department,158,7,2022-11-27
2023-04-18,2022-12-10,Health District,Blue Ridge,Northwest Region,Emergency Department,180,9,2022-12-04
2023-04-18,2022-12-17,Health District,Blue Ridge,Northwest Region,Emergency Department,175,9,2022-12-11
2023-04-18,2022-12-24,Health District,Blue Ridge,Northwest Region,Emergency Department,183,10,2022-12-18
2023-04-18,2022-12-31,Health District,Blue Ridge,Northwest Region,Emergency Department,222,12,2022-12-25
2023-04-18,2023-01-07,Health District,Blue Ridge,Northwest Region,Emergency Department,198,9,2023-01-01
2023-04-18,2023-01-14,Health District,Blue Ridge,Northwest Region,Emergency Department,152,9,2023-01-08
2023-04-18,2023-01-21,Health District,Blue Ridge,Northwest Region,Emergency Department,148,8,2023-01-15
2023-04-18,2023-01-28,Health District,Blue Ridge,Northwest Region,Emergency Department,123,7,2023-01-22
2023-04-18,2023-02-04,Health District,Blue Ridge,Northwest Region,Emergency Department,125,7,2023-01-29
2023-04-18,2023-02-11,Health District,Blue Ridge,Northwest Region,Emergency Department,137,7,2023-02-05
2023-04-18,2023-02-18,Health District,Blue Ridge,Northwest Region,Emergency Department,136,7,2023-02-12
2023-04-18,2023-02-25,Health District,Blue Ridge,Northwest Region,Emergency Department,114,6,2023-02-19
2023-04-18,2023-03-04,Health District,Blue Ridge,Northwest Region,Emergency Department,124,6,2023-02-26
2023-04-18,2023-03-11,Health District,Blue Ridge,Northwest Region,Emergency Department,108,5,2023-03-05
2023-04-18,2023-03-18,Health District,Blue Ridge,Northwest Region,Emergency Department,97,5,2023-03-12
2023-04-18,2023-03-25,Health District,Blue Ridge,Northwest Region,Emergency Department,127,7,2023-03-19
2023-04-18,2023-04-01,Health District,Blue Ridge,Northwest Region,Emergency Department,106,5,2023-03-26
2023-04-18,2023-04-08,Health District,Blue Ridge,Northwest Region,Emergency Department,89,5,2023-04-02
2023-04-18,2023-04-15,Health District,Blue Ridge,Northwest Region,Emergency Department,71,4,2023-04-09
2023-04-18,2020-03-07,Health District,Blue Ridge,Northwest Region,Urgent Care,5,5,2020-03-01
2023-04-18,2020-03-14,Health District,Blue Ridge,Northwest Region,Urgent Care,4,5,2020-03-08
2023-04-18,2020-03-21,Health District,Blue Ridge,Northwest Region,Urgent Care,2,3,2020-03-15
2023-04-18,2020-03-28,Health District,Blue Ridge,Northwest Region,Urgent Care,2,5,2020-03-22
2023-04-18,2020-04-04,Health District,Blue Ridge,Northwest Region,Urgent Care,3,8,2020-03-29
2023-04-18,2020-04-11,Health District,Blue Ridge,Northwest Region,Urgent Care,0,0,2020-04-05
2023-04-18,2020-04-18,Health District,Blue Ridge,Northwest Region,Urgent Care,2,7,2020-04-12
2023-04-18,2020-04-25,Health District,Blue Ridge,Northwest Region,Urgent Care,4,13,2020-04-19
2023-04-18,2020-05-02,Health District,Blue Ridge,Northwest Region,Urgent Care,4,10,2020-04-26
2023-04-18,2020-05-09,Health District,Blue Ridge,Northwest Region,Urgent Care,12,20,2020-05-03
2023-04-18,2020-05-16,Health District,Blue Ridge,Northwest Region,Urgent Care,15,23,2020-05-10
2023-04-18,2020-05-23,Health District,Blue Ridge,Northwest Region,Urgent Care,20,27,2020-05-17
2023-04-18,2020-05-30,Health District,Blue Ridge,Northwest Region,Urgent Care,12,21,2020-05-24
2023-04-18,2020-06-06,Health District,Blue Ridge,Northwest Region,Urgent Care,22,31,2020-05-31
2023-04-18,2020-06-13,Health District,Blue Ridge,Northwest Region,Urgent Care,18,26,2020-06-07
2023-04-18,2020-06-20,Health District,Blue Ridge,Northwest Region,Urgent Care,13,18,2020-06-14
2023-04-18,2020-06-27,Health District,Blue Ridge,Northwest Region,Urgent Care,8,11,2020-06-21
2023-04-18,2020-07-04,Health District,Blue Ridge,Northwest Region,Urgent Care,11,13,2020-06-28
2023-04-18,2020-07-11,Health District,Blue Ridge,Northwest Region,Urgent Care,17,22,2020-07-05
2023-04-18,2020-07-18,Health District,Blue Ridge,Northwest Region,Urgent Care,13,15,2020-07-12
2023-04-18,2020-07-25,Health District,Blue Ridge,Northwest Region,Urgent Care,6,9,2020-07-19
2023-04-18,2020-08-01,Health District,Blue Ridge,Northwest Region,Urgent Care,5,7,2020-07-26
2023-04-18,2020-08-08,Health District,Blue Ridge,Northwest Region,Urgent Care,7,10,2020-08-02
2023-04-18,2020-08-15,Health District,Blue Ridge,Northwest Region,Urgent Care,10,11,2020-08-09
2023-04-18,2020-08-22,Health District,Blue Ridge,Northwest Region,Urgent Care,2,3,2020-08-16
2023-04-18,2020-08-29,Health District,Blue Ridge,Northwest Region,Urgent Care,9,9,2020-08-23
2023-04-18,2020-09-05,Health District,Blue Ridge,Northwest Region,Urgent Care,22,23,2020-08-30
2023-04-18,2020-09-12,Health District,Blue Ridge,Northwest Region,Urgent Care,12,16,2020-09-06
2023-04-18,2020-09-19,Health District,Blue Ridge,Northwest Region,Urgent Care,12,15,2020-09-13
2023-04-18,2020-09-26,Health District,Blue Ridge,Northwest Region,Urgent Care,11,16,2020-09-20
2023-04-18,2020-10-03,Health District,Blue Ridge,Northwest Region,Urgent Care,6,7,2020-09-27
2023-04-18,2020-10-10,Health District,Blue Ridge,Northwest Region,Urgent Care,13,18,2020-10-04
2023-04-18,2020-10-17,Health District,Blue Ridge,Northwest Region,Urgent Care,9,14,2020-10-11
2023-04-18,2020-10-24,Health District,Blue Ridge,Northwest Region,Urgent Care,9,12,2020-10-18
2023-04-18,2020-10-31,Health District,Blue Ridge,Northwest Region,Urgent Care,11,14,2020-10-25
2023-04-18,2020-11-07,Health District,Blue Ridge,Northwest Region,Urgent Care,14,18,2020-11-01
2023-04-18,2020-11-14,Health District,Blue Ridge,Northwest Region,Urgent Care,9,11,2020-11-08
2023-04-18,2020-11-21,Health District,Blue Ridge,Northwest Region,Urgent Care,23,23,2020-11-15
2023-04-18,2020-11-28,Health District,Blue Ridge,Northwest Region,Urgent Care,21,27,2020-11-22
2023-04-18,2020-12-05,Health District,Blue Ridge,Northwest Region,Urgent Care,19,23,2020-11-29
2023-04-18,2020-12-12,Health District,Blue Ridge,Northwest Region,Urgent Care,14,19,2020-12-06
2023-04-18,2020-12-19,Health District,Blue Ridge,Northwest Region,Urgent Care,18,22,2020-12-13
2023-04-18,2020-12-26,Health District,Blue Ridge,Northwest Region,Urgent Care,42,34,2020-12-20
2023-04-18,2021-01-02,Health District,Blue Ridge,Northwest Region,Urgent Care,43,35,2020-12-27
2023-04-18,2021-01-09,Health District,Blue Ridge,Northwest Region,Urgent Care,47,41,2021-01-03
2023-04-18,2021-01-16,Health District,Blue Ridge,Northwest Region,Urgent Care,54,42,2021-01-10
2023-04-18,2021-01-23,Health District,Blue Ridge,Northwest Region,Urgent Care,22,22,2021-01-17
2023-04-18,2021-01-30,Health District,Blue Ridge,Northwest Region,Urgent Care,23,23,2021-01-24
2023-04-18,2021-02-06,Health District,Blue Ridge,Northwest Region,Urgent Care,35,36,2021-01-31
2023-04-18,2021-02-13,Health District,Blue Ridge,Northwest Region,Urgent Care,20,31,2021-02-07
2023-04-18,2021-02-20,Health District,Blue Ridge,Northwest Region,Urgent Care,24,29,2021-02-14
2023-04-18,2021-02-27,Health District,Blue Ridge,Northwest Region,Urgent Care,8,10,2021-02-21
2023-04-18,2021-03-06,Health District,Blue Ridge,Northwest Region,Urgent Care,8,9,2021-02-28
2023-04-18,2021-03-13,Health District,Blue Ridge,Northwest Region,Urgent Care,13,19,2021-03-07
2023-04-18,2021-03-20,Health District,Blue Ridge,Northwest Region,Urgent Care,13,12,2021-03-14
2023-04-18,2021-03-27,Health District,Blue Ridge,Northwest Region,Urgent Care,8,11,2021-03-21
2023-04-18,2021-04-03,Health District,Blue Ridge,Northwest Region,Urgent Care,13,15,2021-03-28
2023-04-18,2021-04-10,Health District,Blue Ridge,Northwest Region,Urgent Care,8,10,2021-04-04
2023-04-18,2021-04-17,Health District,Blue Ridge,Northwest Region,Urgent Care,9,13,2021-04-11
2023-04-18,2021-04-24,Health District,Blue Ridge,Northwest Region,Urgent Care,10,13,2021-04-18
2023-04-18,2021-05-01,Health District,Blue Ridge,Northwest Region,Urgent Care,18,22,2021-04-25
2023-04-18,2021-05-08,Health District,Blue Ridge,Northwest Region,Urgent Care,9,9,2021-05-02
2023-04-18,2021-05-15,Health District,Blue Ridge,Northwest Region,Urgent Care,17,15,2021-05-09
2023-04-18,2021-05-22,Health District,Blue Ridge,Northwest Region,Urgent Care,10,10,2021-05-16
2023-04-18,2021-05-29,Health District,Blue Ridge,Northwest Region,Urgent Care,5,5,2021-05-23
2023-04-18,2021-06-05,Health District,Blue Ridge,Northwest Region,Urgent Care,9,9,2021-05-30
2023-04-18,2021-06-12,Health District,Blue Ridge,Northwest Region,Urgent Care,8,7,2021-06-06
2023-04-18,2021-06-19,Health District,Blue Ridge,Northwest Region,Urgent Care,9,8,2021-06-13
2023-04-18,2021-06-26,Health District,Blue Ridge,Northwest Region,Urgent Care,12,9,2021-06-20
2023-04-18,2021-07-03,Health District,Blue Ridge,Northwest Region,Urgent Care,8,6,2021-06-27
2023-04-18,2021-07-10,Health District,Blue Ridge,Northwest Region,Urgent Care,15,11,2021-07-04
2023-04-18,2021-07-17,Health District,Blue Ridge,Northwest Region,Urgent Care,17,11,2021-07-11
2023-04-18,2021-07-24,Health District,Blue Ridge,Northwest Region,Urgent Care,14,10,2021-07-18
2023-04-18,2021-07-31,Health District,Blue Ridge,Northwest Region,Urgent Care,21,13,2021-07-25
2023-04-18,2021-08-07,Health District,Blue Ridge,Northwest Region,Urgent Care,37,17,2021-08-01
2023-04-18,2021-08-14,Health District,Blue Ridge,Northwest Region,Urgent Care,31,19,2021-08-08
2023-04-18,2021-08-21,Health District,Blue Ridge,Northwest Region,Urgent Care,61,31,2021-08-15
2023-04-18,2021-08-28,Health District,Blue Ridge,Northwest Region,Urgent Care,84,32,2021-08-22
2023-04-18,2021-09-04,Health District,Blue Ridge,Northwest Region,Urgent Care,61,24,2021-08-29
